Order Status,order date (DateOrders),shipping date (DateOrders),Days for shipment (scheduled),Order Profit Per Order,Order Region
COMPLETE,8/25/2016 18:04,8/28/2016 18:04,2,111.1299973,Central Africa
PENDING,5/4/2016 23:39,5/7/2016 23:39,4,30.51000023,South of  USA 
COMPLETE,1/14/2016 0:52,1/16/2016 0:52,1,-39.0,Oceania
CLOSED,1/24/2016 0:30,1/27/2016 0:30,4,-7.920000076,Oceania
PROCESSING,1/17/2017 20:51,1/21/2017 20:51,2,79.26999664,Central Asia
PENDING_PAYMENT,2/20/2017 2:14,2/25/2017 2:14,4,15.86999989,Central America
PENDING_PAYMENT,11/21/2016 9:11,11/23/2016 9:11,1,-4.400000095,West Asia
PENDING_PAYMENT,3/16/2016 20:03,3/22/2016 20:03,4,124.1800003,South Asia
COMPLETE,2/16/2015 4:50,2/18/2015 4:50,4,34.3199997,Caribbean
PENDING,1/31/2015 10:49,2/3/2015 10:49,2,57.40000153,South America
PENDING_PAYMENT,6/23/2015 23:45,6/29/2015 23:45,4,22.87000084,Western Europe
PENDING_PAYMENT,11/20/2015 2:31,11/26/2015 2:31,4,32.88000107,Eastern Asia
PROCESSING,12/7/2015 3:43,12/11/2015 3:43,4,22.37000084,Southeast Asia
COMPLETE,9/27/2016 2:05,9/30/2016 2:05,2,41.40000153,West Africa
COMPLETE,8/8/2016 7:24,8/11/2016 7:24,4,63.88000107,US Center 
PENDING,8/22/2015 17:00,8/24/2015 17:00,4,27.29000092,Southern Europe
PENDING_PAYMENT,7/15/2015 10:24,7/17/2015 10:24,1,12.93000031,Northern Europe
PENDING,4/8/2015 4:14,4/12/2015 4:14,2,20.69000053,Central America
ON_HOLD,2/20/2015 16:44,2/22/2015 16:44,1,7.28000021,South America
COMPLETE,6/14/2017 5:34,6/18/2017 5:34,4,136.7599945,South America
PENDING_PAYMENT,9/26/2016 10:19,9/29/2016 10:19,4,12.52000046,Eastern Europe
COMPLETE,11/11/2016 1:30,11/13/2016 1:30,1,29.25,West Africa
COMPLETE,3/27/2017 14:37,3/30/2017 14:37,2,167.0299988,Central America
COMPLETE,7/10/2015 13:44,7/12/2015 13:44,4,58.47999954,Northern Europe
PROCESSING,12/6/2015 19:19,12/11/2015 19:19,2,21.0,Eastern Asia
PENDING_PAYMENT,8/15/2015 18:57,8/18/2015 18:57,2,25.5,Southern Europe
PROCESSING,2/5/2015 14:50,2/7/2015 14:50,2,22.68000031,Central America
PENDING,6/9/2015 22:01,6/11/2015 22:01,2,107.0599976,Western Europe
PENDING_PAYMENT,2/21/2017 9:46,2/26/2017 9:46,4,91.13999939,Central America
PROCESSING,6/6/2016 17:50,6/8/2016 17:50,1,38.40000153,South of  USA 
PENDING,4/11/2016 6:00,4/11/2016 18:00,0,113.8799973,East of USA
PENDING_PAYMENT,1/28/2015 17:18,1/30/2015 17:18,1,138.2299957,Central America
COMPLETE,10/20/2017 14:51,10/24/2017 14:51,4,98.37999725,Western Europe
PENDING_PAYMENT,11/19/2017 0:06,11/21/2017 0:06,4,34.36999893,Southeast Asia
CLOSED,4/2/2015 8:48,4/4/2015 8:48,1,-234.0,Central America
CLOSED,3/20/2017 14:06,3/22/2017 14:06,4,83.15000153,Central America
COMPLETE,3/2/2015 9:43,3/7/2015 9:43,4,41.15000153,Caribbean
COMPLETE,5/9/2016 3:09,5/11/2016 3:09,4,-24.70000076,South of  USA 
COMPLETE,4/28/2015 17:52,5/1/2015 17:52,4,19.79999924,South America
COMPLETE,9/13/2016 21:22,9/17/2016 21:22,2,11.72000027,East Africa
SUSPECTED_FRAUD,8/20/2017 16:10,8/24/2017 16:10,4,-16.51000023,Southern Europe
PROCESSING,9/16/2017 23:39,9/17/2017 11:39,0,174.7899933,Southern Europe
PROCESSING,10/31/2015 6:45,11/3/2015 6:45,4,28.07999992,Southeast Asia
COMPLETE,2/19/2017 23:25,2/21/2017 23:25,2,17.05999947,Central America
CLOSED,8/24/2015 15:57,8/30/2015 15:57,4,54.86999893,Western Europe
CLOSED,6/3/2016 21:52,6/6/2016 21:52,4,4.940000057,West of USA 
PENDING,6/13/2017 20:49,6/17/2017 20:49,4,13.64999962,South America
COMPLETE,6/27/2015 0:37,6/27/2015 12:37,0,-263.230011,Western Europe
PENDING_PAYMENT,4/1/2016 17:34,4/3/2016 17:34,1,70.47000122,Oceania
PENDING_PAYMENT,5/29/2015 8:33,6/3/2015 8:33,2,59.27999878,South America
COMPLETE,6/11/2015 5:33,6/11/2015 17:33,0,9.699999809,Western Europe
CLOSED,11/2/2015 3:15,11/7/2015 3:15,4,75.58000183,Oceania
CANCELED,8/1/2015 10:33,8/6/2015 10:33,4,-9.489999771,Western Europe
PENDING,1/4/2018 23:51,1/6/2018 23:51,1,-22.02000046,Eastern Asia
PROCESSING,7/17/2015 5:30,7/17/2015 17:30,0,6.039999962,Southern Europe
PENDING_PAYMENT,9/24/2015 4:10,9/30/2015 4:10,4,28.12999916,Western Europe
COMPLETE,9/16/2016 1:55,9/20/2016 1:55,4,9.18999958,West Asia
PENDING_PAYMENT,11/18/2016 4:07,11/24/2016 4:07,4,41.74000168,Central Africa
PROCESSING,10/14/2015 6:36,10/16/2015 6:36,1,-12.35000038,Southern Europe
COMPLETE,4/15/2016 1:05,4/17/2016 1:05,4,76.43000031,West of USA 
PROCESSING,11/30/2016 2:00,12/2/2016 2:00,2,56.24000168,West Asia
PROCESSING,6/11/2016 1:53,6/15/2016 1:53,4,-251.9900055,East of USA
PROCESSING,12/28/2015 13:41,1/3/2016 13:41,4,-10.85000038,Southeast Asia
PENDING_PAYMENT,2/14/2015 11:29,2/14/2015 23:29,0,125.2600021,Central America
PENDING_PAYMENT,12/18/2015 10:11,12/24/2015 10:11,2,67.5699997,Eastern Asia
PENDING_PAYMENT,3/7/2016 15:20,3/13/2016 15:20,4,89.44999695,Southeast Asia
COMPLETE,2/5/2015 19:02,2/9/2015 19:02,4,42.77000046,Central America
PENDING_PAYMENT,11/12/2015 20:03,11/15/2015 20:03,4,154.8600006,Eastern Asia
PENDING_PAYMENT,4/28/2015 14:01,4/30/2015 14:01,2,181.4799957,Central America
CLOSED,2/27/2015 14:27,2/28/2015 2:27,0,32.0699997,Central America
COMPLETE,4/19/2017 19:19,4/21/2017 19:19,4,105.5899963,South America
PENDING_PAYMENT,11/10/2017 21:39,11/12/2017 21:39,4,50.56000137,Western Europe
CANCELED,3/27/2015 16:52,3/30/2015 16:52,4,-88.73000336,Central America
PROCESSING,9/10/2017 3:42,9/12/2017 3:42,4,-74.25,Northern Europe
CLOSED,4/16/2016 8:37,4/18/2016 8:37,4,72.54000092,South of  USA 
COMPLETE,5/2/2017 0:54,5/7/2017 0:54,4,184.2299957,Central America
PENDING,7/5/2017 13:25,7/10/2017 13:25,4,15.44999981,Western Europe
COMPLETE,6/7/2015 8:00,6/12/2015 8:00,4,40.81000137,Western Europe
PENDING,4/11/2017 13:01,4/17/2017 13:01,4,23.62000084,Central America
COMPLETE,10/4/2016 8:54,10/6/2016 8:54,2,121.9000015,Southern Africa
COMPLETE,10/1/2015 16:36,10/7/2015 16:36,2,19.20000076,Western Europe
PENDING_PAYMENT,7/5/2017 2:13,7/8/2017 2:13,2,67.59999847,Western Europe
PENDING_PAYMENT,3/28/2015 18:05,3/29/2015 6:05,0,-19.20000076,Central America
ON_HOLD,7/18/2016 11:49,7/20/2016 11:49,4,1.25,West of USA 
PENDING_PAYMENT,2/16/2017 20:48,2/20/2017 20:48,4,15.68000031,Caribbean
PENDING_PAYMENT,9/13/2017 17:32,9/15/2017 17:32,4,138.2299957,Northern Europe
ON_HOLD,6/25/2017 23:15,6/28/2017 23:15,4,132.2899933,Western Europe
PROCESSING,10/10/2016 11:00,10/14/2016 11:00,4,-1.600000024,North Africa
ON_HOLD,9/25/2015 0:30,9/27/2015 0:30,1,55.25,Western Europe
PENDING_PAYMENT,2/4/2016 4:10,2/6/2016 4:10,4,85.79000092,Eastern Asia
COMPLETE,3/31/2016 9:41,4/2/2016 9:41,1,-131.1900024,Oceania
COMPLETE,5/9/2017 15:05,5/11/2017 15:05,1,-1.320000052,Central America
PENDING,8/22/2016 5:59,8/25/2016 5:59,2,141.7400055,South of  USA 
ON_HOLD,1/23/2017 12:47,1/25/2017 12:47,4,6.789999962,Central America
PENDING,10/14/2015 15:00,10/16/2015 15:00,2,30.86000061,Western Europe
PENDING,7/25/2016 1:07,7/31/2016 1:07,2,-40.02000046,East of USA
ON_HOLD,7/16/2015 0:25,7/21/2015 0:25,4,18.70999908,Northern Europe
COMPLETE,10/3/2016 9:26,10/8/2016 9:26,4,-39.97999954,Eastern Europe
COMPLETE,7/26/2015 19:19,7/30/2015 19:19,4,20.94000053,Western Europe
ON_HOLD,8/6/2017 5:19,8/10/2017 5:19,4,26.21999931,Western Europe
COMPLETE,2/28/2016 12:32,3/4/2016 12:32,2,63.77000046,South Asia
PENDING_PAYMENT,5/17/2015 6:49,5/20/2015 6:49,2,47.25,Central America
COMPLETE,8/28/2015 8:56,9/2/2015 8:56,4,32.95000076,Western Europe
PENDING,1/24/2016 18:43,1/26/2016 18:43,1,48.5699997,South Asia
PROCESSING,7/17/2015 14:57,7/22/2015 14:57,4,47.02000046,Western Europe
COMPLETE,9/14/2016 11:23,9/18/2016 11:23,4,11.39999962,West Africa
COMPLETE,8/7/2015 5:39,8/9/2015 5:39,4,109.2799988,Western Europe
PENDING,2/27/2016 0:06,3/4/2016 0:06,2,22.27000046,South Asia
COMPLETE,9/12/2016 21:54,9/14/2016 21:54,4,41.15999985,South Asia
PENDING_PAYMENT,1/5/2017 19:49,1/9/2017 19:49,4,9.220000267,West Asia
CLOSED,2/16/2016 5:33,2/19/2016 5:33,4,33.75,Eastern Asia
COMPLETE,11/27/2015 4:05,12/2/2015 4:05,4,8.850000381,Eastern Asia
PROCESSING,9/19/2015 8:13,9/24/2015 8:13,2,12.47000027,Southern Europe
PENDING,10/16/2016 13:05,10/22/2016 13:05,4,25.02000046,West Asia
COMPLETE,9/2/2015 21:01,9/4/2015 21:01,4,57.93999863,Northern Europe
COMPLETE,6/26/2017 0:18,7/2/2017 0:18,4,29.38999939,Southern Europe
PENDING,4/10/2016 3:22,4/16/2016 3:22,4,-199.4700012,West of USA 
PENDING,10/10/2015 3:48,10/16/2015 3:48,4,87.11000061,Western Europe
COMPLETE,7/20/2016 2:00,7/26/2016 2:00,2,58.52000046,East of USA
CLOSED,7/23/2016 10:56,7/25/2016 10:56,4,78.55999756,West of USA 
PENDING_PAYMENT,12/15/2016 19:40,12/16/2016 7:40,0,38.97999954,West Asia
COMPLETE,7/1/2015 19:32,7/3/2015 19:32,1,53.75,Southern Europe
COMPLETE,3/24/2015 8:38,3/28/2015 8:38,2,34.86000061,Central America
ON_HOLD,3/6/2016 16:54,3/8/2016 16:54,2,105.7399979,Southeast Asia
ON_HOLD,1/11/2018 4:03,1/15/2018 4:03,2,138.4400024,Eastern Asia
PROCESSING,4/19/2015 18:46,4/23/2015 18:46,4,47.79000092,Central America
PENDING_PAYMENT,1/30/2016 7:51,2/4/2016 7:51,4,25.07999992,South Asia
PROCESSING,8/12/2016 11:36,8/16/2016 11:36,4,3.609999895,US Center 
COMPLETE,5/23/2017 5:15,5/29/2017 5:15,4,-13.43999958,Caribbean
ON_HOLD,1/8/2016 6:50,1/13/2016 6:50,4,12.89999962,South Asia
COMPLETE,4/13/2017 0:45,4/16/2017 0:45,4,20.17000008,Central America
PROCESSING,9/26/2017 16:59,10/2/2017 16:59,4,91.79000092,Western Europe
CLOSED,4/12/2016 13:11,4/18/2016 13:11,4,-34.99000168,West of USA 
PENDING,8/7/2016 19:51,8/12/2016 19:51,4,73.47000122,US Center 
COMPLETE,2/7/2017 18:53,2/9/2017 18:53,4,77.93000031,Central America
COMPLETE,11/4/2016 7:38,11/6/2016 7:38,4,72.90000153,Southern Africa
PROCESSING,5/14/2016 9:17,5/16/2016 9:17,2,99.73999786,US Center 
PROCESSING,11/22/2016 2:42,11/28/2016 2:42,4,211.4799957,South Asia
COMPLETE,9/23/2017 6:18,9/28/2017 6:18,4,65.51999664,Southern Europe
ON_HOLD,1/29/2016 11:53,2/1/2016 11:53,2,73.5,Southeast Asia
PROCESSING,5/28/2016 23:58,5/31/2016 23:58,4,4.949999809,West of USA 
PENDING_PAYMENT,7/18/2017 3:25,7/18/2017 15:25,0,142.5399933,Northern Europe
PENDING_PAYMENT,7/12/2017 8:20,7/17/2017 8:20,4,110.5299988,Western Europe
PAYMENT_REVIEW,9/16/2016 6:08,9/18/2016 6:08,1,8.550000191,Southern Europe
COMPLETE,10/23/2015 22:32,10/28/2015 22:32,4,39.0,Western Europe
PENDING_PAYMENT,12/22/2016 2:40,12/28/2016 2:40,4,-29.98999977,Eastern Europe
PENDING_PAYMENT,8/20/2017 10:54,8/22/2017 10:54,1,10.80000019,Western Europe
PROCESSING,9/25/2017 1:24,9/28/2017 1:24,4,-118.2099991,Western Europe
COMPLETE,4/20/2015 4:55,4/23/2015 4:55,2,34.43000031,Central America
PENDING_PAYMENT,4/18/2017 2:40,4/20/2017 2:40,1,63.88000107,Central America
SUSPECTED_FRAUD,5/16/2016 11:23,5/18/2016 11:23,1,105.5500031,West of USA 
PENDING_PAYMENT,5/22/2017 16:38,5/27/2017 16:38,2,57.33000183,Caribbean
PENDING_PAYMENT,7/14/2017 23:03,7/18/2017 23:03,4,30.73999977,Southern Europe
COMPLETE,7/25/2017 16:54,7/30/2017 16:54,4,28.38999939,Western Europe
PROCESSING,10/22/2016 21:50,10/24/2016 21:50,2,35.09000015,Eastern Europe
CLOSED,11/30/2015 16:10,12/1/2015 4:10,0,4.949999809,Oceania
PROCESSING,2/2/2015 23:25,2/4/2015 23:25,1,-1.409999967,Central America
PENDING_PAYMENT,1/13/2018 0:33,1/15/2018 0:33,1,152.6000061,Southeast Asia
PENDING_PAYMENT,2/5/2016 22:54,2/9/2016 22:54,2,6.190000057,Southeast Asia
PENDING_PAYMENT,11/14/2016 21:17,11/20/2016 21:17,2,31.68000031,West Asia
PENDING_PAYMENT,6/11/2017 6:27,6/17/2017 6:27,4,8.18999958,South America
PENDING_PAYMENT,2/6/2016 11:52,2/12/2016 11:52,4,36.08000183,Southeast Asia
PENDING_PAYMENT,1/21/2015 8:01,1/26/2015 8:01,2,19.65999985,Caribbean
ON_HOLD,6/1/2017 18:02,6/5/2017 18:02,4,49.40000153,Central America
PENDING,6/8/2016 11:52,6/10/2016 11:52,1,87.41999817,West of USA 
COMPLETE,7/28/2015 7:46,7/31/2015 7:46,4,135.0299988,Western Europe
COMPLETE,9/15/2017 23:50,9/17/2017 23:50,2,-36.36999893,Southern Europe
CLOSED,9/15/2015 21:53,9/20/2015 21:53,4,-489.5799866,Western Europe
PENDING_PAYMENT,8/22/2016 13:21,8/26/2016 13:21,4,-3.119999886,US Center 
CANCELED,2/21/2015 20:25,2/25/2015 20:25,4,128.3000031,South America
PROCESSING,2/21/2016 0:28,2/23/2016 0:28,1,45.34000015,Eastern Asia
PENDING,3/4/2015 1:18,3/7/2015 1:18,4,59.13000107,Central America
PENDING_PAYMENT,11/28/2015 8:49,11/30/2015 8:49,4,5.940000057,Southeast Asia
COMPLETE,8/21/2016 13:31,8/27/2016 13:31,4,-72.58999634,West of USA 
CLOSED,10/9/2016 17:08,10/10/2016 5:08,0,51.72999954,Northern Europe
COMPLETE,12/23/2017 21:46,12/26/2017 21:46,4,407.3999939,Southeast Asia
PENDING_PAYMENT,12/13/2015 5:49,12/19/2015 5:49,4,91.30000305,Eastern Asia
COMPLETE,6/21/2017 6:47,6/23/2017 6:47,4,17.23999977,Western Europe
PENDING_PAYMENT,4/1/2017 14:05,4/5/2017 14:05,4,85.05000305,South America
PROCESSING,2/3/2016 9:36,2/5/2016 9:36,1,76.43000031,South Asia
CANCELED,7/13/2016 22:09,7/17/2016 22:09,4,32.66999817,West of USA 
PENDING_PAYMENT,3/25/2017 10:25,3/29/2017 10:25,4,-12.72000027,South America
PENDING_PAYMENT,8/6/2015 11:47,8/8/2015 11:47,1,3.640000105,Western Europe
CLOSED,8/1/2017 15:40,8/7/2017 15:40,4,27.71999931,Northern Europe
PENDING_PAYMENT,7/26/2015 15:28,7/27/2015 3:28,0,3.779999971,Western Europe
PENDING,10/30/2015 18:50,11/1/2015 18:50,1,49.95999908,Eastern Asia
PROCESSING,3/9/2015 10:35,3/11/2015 10:35,1,21.69000053,South America
SUSPECTED_FRAUD,8/17/2015 7:02,8/23/2015 7:02,2,99.94000244,Western Europe
SUSPECTED_FRAUD,1/25/2017 7:10,1/28/2017 7:10,2,-12.5,Central America
ON_HOLD,1/18/2017 20:40,1/20/2017 20:40,2,-113.3899994,South America
PENDING_PAYMENT,2/27/2017 5:54,3/4/2017 5:54,4,37.79999924,Central America
PENDING,4/3/2015 0:13,4/8/2015 0:13,4,44.63000107,Caribbean
COMPLETE,5/22/2016 4:43,5/24/2016 4:43,4,38.40000153,West of USA 
PENDING,10/18/2015 0:38,10/23/2015 0:38,4,60.43000031,Western Europe
ON_HOLD,8/29/2016 12:06,8/31/2016 12:06,1,34.22000122,West Asia
PENDING_PAYMENT,1/16/2015 5:24,1/21/2015 5:24,2,93.48999786,South America
COMPLETE,8/30/2017 3:53,9/1/2017 3:53,1,25.98999977,Western Europe
COMPLETE,4/16/2015 3:52,4/22/2015 3:52,4,61.5,Central America
COMPLETE,5/9/2017 10:11,5/15/2017 10:11,2,23.5,Central America
COMPLETE,10/2/2015 10:49,10/5/2015 10:49,2,-37.20000076,Western Europe
PROCESSING,2/9/2015 16:14,2/10/2015 4:14,0,108.8899994,South America
PROCESSING,6/27/2015 11:08,7/1/2015 11:08,4,76.02999878,Western Europe
COMPLETE,3/9/2017 11:50,3/11/2017 11:50,4,78.72000122,South America
COMPLETE,9/26/2015 3:28,10/2/2015 3:28,4,45.04000092,Western Europe
PENDING_PAYMENT,2/22/2015 10:47,2/27/2015 10:47,4,56.25,Central America
COMPLETE,6/11/2016 14:30,6/16/2016 14:30,4,38.22000122,West of USA 
CLOSED,9/21/2017 17:52,9/27/2017 17:52,4,-85.80000305,Western Europe
PENDING_PAYMENT,11/7/2015 23:02,11/11/2015 23:02,4,-180.1699982,Eastern Asia
ON_HOLD,4/27/2017 15:27,5/1/2017 15:27,4,46.43000031,Central America
COMPLETE,2/3/2017 12:14,2/5/2017 12:14,1,63.45000076,Central America
CLOSED,9/16/2016 9:59,9/18/2016 9:59,4,-176.0800018,West Asia
PENDING,8/9/2015 15:27,8/11/2015 15:27,1,0.0,Western Europe
PENDING_PAYMENT,2/28/2017 20:47,3/6/2017 20:47,4,63.88000107,Central America
COMPLETE,8/13/2015 16:30,8/17/2015 16:30,4,10.81000042,Northern Europe
CLOSED,5/9/2017 11:14,5/11/2017 11:14,1,47.27999878,South America
PENDING,2/12/2016 15:01,2/18/2016 15:01,4,65.48000336,Oceania
PROCESSING,12/9/2017 22:50,12/11/2017 22:50,4,11.28999996,Oceania
CLOSED,8/22/2015 23:19,8/27/2015 23:19,4,-36.79999924,Western Europe
COMPLETE,5/25/2017 4:12,5/25/2017 16:12,0,27.54999924,Caribbean
COMPLETE,2/18/2016 2:02,2/23/2016 2:02,4,74.87000275,Eastern Asia
COMPLETE,7/5/2017 15:32,7/11/2017 15:32,2,35.33000183,Western Europe
PENDING_PAYMENT,9/25/2017 7:00,9/27/2017 7:00,1,107.8000031,Southern Europe
COMPLETE,5/20/2016 4:43,5/22/2016 4:43,1,5.760000229,West of USA 
CLOSED,3/10/2016 6:45,3/12/2016 6:45,4,99.73999786,South Asia
CLOSED,7/6/2016 23:03,7/8/2016 23:03,4,26.87000084,South of  USA 
COMPLETE,4/29/2017 0:23,5/1/2017 0:23,1,16.88999939,Central America
PENDING_PAYMENT,7/5/2015 12:31,7/11/2015 12:31,4,23.22999954,Northern Europe
CLOSED,8/15/2015 5:38,8/17/2015 5:38,1,92.48000336,Western Europe
PROCESSING,7/3/2017 20:26,7/4/2017 8:26,0,129.1900024,Western Europe
PROCESSING,2/3/2017 5:14,2/7/2017 5:14,4,4.0,South America
PROCESSING,5/26/2017 16:17,5/29/2017 16:17,2,27.71999931,South America
PENDING,4/27/2017 4:14,4/29/2017 4:14,4,-9.699999809,South America
PENDING,12/19/2016 0:44,12/24/2016 0:44,4,13.05000019,Central Africa
COMPLETE,9/17/2017 21:44,9/20/2017 21:44,4,30.0699997,Western Europe
COMPLETE,6/23/2016 21:08,6/29/2016 21:08,2,19.20000076,South of  USA 
COMPLETE,11/30/2016 22:40,12/6/2016 22:40,2,25.19000053,West Asia
PENDING,10/12/2015 15:01,10/17/2015 15:01,4,-79.66999817,Western Europe
ON_HOLD,7/5/2016 5:00,7/7/2016 5:00,1,-7.559999943,South of  USA 
